stratum,n_low_freq,n_high_freq,median_ECE_low_freq,median_ECE_high_freq,delta,mann_whitney_U,p_value,sig,dataset
easy,80,80,0.1654871416768913,0.14422118093741187,0.021265960739479423,3957.0,0.004916524598243966,*,assist2012
medium,79,79,0.21845445313623973,0.15482080692752442,0.06363364620871531,4997.0,3.4283787442956063e-11,*,assist2012
hard,80,80,0.30559802494424604,0.17465250224895912,0.13094552269528692,5038.0,1.7973057537528004e-10,*,assist2012
easy,441,441,0.09724226991819715,0.09446859917089959,0.002773670747297563,105715.0,0.01254343186125229,*,junyi
medium,441,440,0.11496190694215226,0.10583979882052508,0.009122108121627184,111575.0,5.810964122387977e-05,*,junyi
hard,441,441,0.12016908048435916,0.09774857616207726,0.022420504322281903,130272.0,1.2555700322094462e-18,*,junyi
easy,211,210,0.08261243425882783,0.08158106360901529,0.0010313706498125408,21395.0,0.7288146878217971,,xes3g5m
medium,211,210,0.16208292967067994,0.1451567389940513,0.01692619067662865,24276.0,0.044685963996234306,*,xes3g5m
hard,211,210,0.23666926667742108,0.1924686660979081,0.04420060057951297,24460.0,0.03243729140250615,*,xes3g5m
