dataset,model,fault_type,corruption_rate,n_warm,AUC,correlation,conditional_mean_gap,frac_missing_ids,frac_duplicate_ids,frac_unmatched_ids,identity_mismatch_rate,irt_warm_auc,detected,fired_signals,detection_rule
ASSISTments 2012,simplekt,F3_pred_shift,1.0,518448,0.810111,0.522475,0.342358,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F4_within_learner_shuffle,1.0,529786,0.597469,0.158666,0.103138,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F5_row_index_mismatch,1.0,529786,0.497392,-0.00451,-0.002931,0.0,0.0,0.0,0.0,0.591875,True,near_random_auc|collapse_vs_irt|nonpositive_corr|nonpositive_gap,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F6_partial_mismatch,0.01,529786,0.671828,0.280933,0.182593,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F6_partial_mismatch,0.05,529786,0.665236,0.270278,0.175645,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F6_partial_mismatch,0.1,529786,0.65531,0.253952,0.165036,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F6_partial_mismatch,0.25,529786,0.630389,0.212933,0.138518,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F6_partial_mismatch,0.5,529786,0.586306,0.141057,0.091645,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,clean,0.0,3240570,0.694875,0.315019,0.163347,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F1_label_shift_plus1,1.0,3212236,0.664792,0.271229,0.140651,0.0,0.03003,0.0,0.335376,0.652623,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F2_label_shift_minus1,1.0,3212254,0.667617,0.275967,0.143244,0.0,0.030045,0.0,0.327699,0.652623,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F3_pred_shift,1.0,3212236,0.667597,0.275941,0.143225,0.0,0.03003,0.0,0.009262,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F4_within_learner_shuffle,1.0,3240570,0.61,0.183248,0.095016,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F5_row_index_mismatch,1.0,3240570,0.50224,0.003588,0.001861,0.0,0.02984,0.0,0.009203,0.652623,True,near_random_auc|collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F6_partial_mismatch,0.01,3240570,0.692897,0.311854,0.161715,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F6_partial_mismatch,0.05,3240570,0.685005,0.298949,0.155045,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F6_partial_mismatch,0.1,3240570,0.675462,0.283602,0.147068,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F6_partial_mismatch,0.25,3240570,0.646286,0.236493,0.122655,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,dkt,F6_partial_mismatch,0.5,3240570,0.59688,0.156433,0.081141,0.0,0.02984,0.0,0.009203,0.652623,True,collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,clean,0.0,3240570,0.716694,0.355189,0.206541,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F1_label_shift_plus1,1.0,3212236,0.7121,0.348243,0.202421,0.0,0.03003,0.0,0.335376,0.652623,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F2_label_shift_minus1,1.0,3212254,0.719294,0.360688,0.209451,0.0,0.030045,0.0,0.327699,0.652623,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F3_pred_shift,1.0,3212236,0.719279,0.360658,0.20943,0.0,0.03003,0.0,0.009262,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F4_within_learner_shuffle,1.0,3240570,0.633411,0.218703,0.127161,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F5_row_index_mismatch,1.0,3240570,0.501437,0.001757,0.001022,0.0,0.02984,0.0,0.009203,0.652623,True,near_random_auc|collapse_vs_irt,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F6_partial_mismatch,0.01,3240570,0.71452,0.351623,0.204485,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F6_partial_mismatch,0.05,3240570,0.705836,0.337371,0.196172,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F6_partial_mismatch,0.1,3240570,0.694936,0.319495,0.185768,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F6_partial_mismatch,0.25,3240570,0.662428,0.266321,0.154869,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
Junyi Academy,simplekt,F6_partial_mismatch,0.5,3240570,0.607948,0.176955,0.102921,0.0,0.02984,0.0,0.009203,0.652623,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,clean,0.0,1331318,0.662609,0.236887,0.168795,0.0,3e-06,0.0,0.0,0.656095,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F1_label_shift_plus1,1.0,1317291,0.640589,0.205089,0.146534,0.0,3e-06,0.0,0.190642,0.656095,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
XES3G5M,dkt,F2_label_shift_minus1,1.0,1318590,0.672729,0.248983,0.177617,0.0,3e-06,0.0,0.190642,0.656095,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
