dataset,model,seed,mode,dFM_point,n_valid,mean,ci_lo,ci_hi
assist2012,dkt,42,kc,0.09637232987779479,2000,0.09601959172270859,0.018505967193340026,0.1751952959578147
assist2012,dkt,42,event,0.09637232987779479,2000,0.09734972507065359,0.04181447521324378,0.15755216488522586
assist2012,simplekt,42,kc,0.07175765127862668,2000,0.07121993171972506,0.005966430983019967,0.138437874446882
assist2012,simplekt,42,event,0.07175765127862668,2000,0.07168274611786958,0.015308579485223626,0.12983002600280885
