dataset,model,level,n_kcs,delta_ECE_mean,delta_ECE_ci95_lo,delta_ECE_ci95_hi,delta_REL_mean,delta_REL_ci95_lo,delta_REL_ci95_hi,frac_kcs_ece_worse
xes3g5m,dkt,t100,30,0.13733679743299426,0.10697243726987317,0.16974191688379592,0.059025828539988875,0.03972004390163705,0.08111841729114819,1.0
xes3g5m,dkt,t50,30,0.1606046122260669,0.12701886013628075,0.1964572848893788,0.07680616089014254,0.05147446094211135,0.1060265733862826,1.0
xes3g5m,dkt,t500,30,0.1416463500333727,0.10406721472702178,0.18949501278836972,0.06543757425031367,0.03911195901781366,0.1027545199148381,0.9666666666666667
xes3g5m,simplekt,t100,30,0.08327873438908513,0.06075236825095383,0.11110124052578146,0.04380746336704318,0.031234139053034824,0.05846671533762534,1.0
xes3g5m,simplekt,t50,30,0.10957862123738298,0.07050246014454661,0.15590627204397361,0.06965294081894634,0.0395644174342546,0.10642810638816981,0.9333333333333333
xes3g5m,simplekt,t500,30,0.04104373475674725,0.01974324534737399,0.0631110969697162,0.02081232631350435,0.010233993798772045,0.03194767745583775,0.8333333333333334
