AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,kc_id,dataset,model,level,seed
0.785504088001364,0.7475369458128078,0.511037655709713,0.4118352354047276,0.07153128081327075,0.16960826112086738,0.008141950722865145,0.042694062738489774,1624,0,xes3g5m,dkt,full,42
0.7400172115305161,0.7891566265060241,0.4971249404805595,0.3968693224859502,0.06437509061084185,0.15750525913045715,0.00645593692469829,0.028949679877029597,1660,1,xes3g5m,dkt,full,42
0.8598530129309689,0.8278351798829827,0.3974724980964278,0.3527064745128586,0.04096316116493504,0.12440185716328975,0.0023239163490766297,0.0690241696056818,8033,10,xes3g5m,dkt,full,42
0.7449370638085743,0.7828947368421053,0.47793549854971423,0.39287072579776955,0.07712018396245857,0.15434740718886622,0.012311712821843512,0.03051469852574974,608,100,xes3g5m,dkt,full,42
0.7769874603780674,0.7561819980217607,0.5023814248681656,0.4074594324773498,0.06276607224773006,0.16602318911476396,0.006233533225723711,0.04222763401533771,2022,101,xes3g5m,dkt,full,42
0.9610778118707937,0.9236941931718704,0.17430904477199358,0.23451244815218444,0.01965696573187501,0.054996088338330994,0.0017025409609990807,0.09367815760550628,6854,102,xes3g5m,dkt,full,42
0.9877145438121049,0.9488752556237219,0.11384890944310214,0.19246011686075892,0.023039766212677747,0.037040896582056976,0.005830323522302877,0.1539239548178537,489,103,xes3g5m,dkt,full,42
0.7448098642378109,0.8278827656444495,0.4156690220648595,0.35842807617106665,0.039953764233157704,0.12847068578769197,0.0034505638960760365,0.01828285431509511,8837,104,xes3g5m,dkt,full,42
0.8855370132648694,0.8522895125553914,0.36842200861419483,0.336179200845166,0.061332966539591936,0.11301645508089446,0.010429831257468634,0.07984627537631891,677,105,xes3g5m,dkt,full,42
0.7465330360924749,0.9036292300147131,0.27956407560715835,0.2807062538573941,0.019916881919053296,0.07879600095465178,0.0017586438204213334,0.006331095741438302,8156,106,xes3g5m,dkt,full,42
0.7251905360015005,0.7720588235294118,0.558670664350299,0.41872893292901503,0.09830594721872422,0.17533391927187156,0.013028831676444119,0.032054972153515195,952,107,xes3g5m,dkt,full,42
0.7276098335587837,0.8124430033438038,0.4295357581097017,0.36770267471717905,0.046806012541167064,0.13520525699416758,0.0057003343802496,0.015270018439730642,9869,108,xes3g5m,dkt,full,42
0.6783094215110086,0.79496727600993,0.4733435021391835,0.3893647543263752,0.02730805247927916,0.15160491191163852,0.002081441053504236,0.010097975537482,8862,109,xes3g5m,dkt,full,42
0.8813373702486605,0.8838046272493574,0.282457125442908,0.29608094806553853,0.04485808033397384,0.08766392780738812,0.0055844957659219804,0.059272579018089716,3890,11,xes3g5m,dkt,full,42
0.7061061061061061,0.8820754716981132,0.3697338481818078,0.31705234274049576,0.07901059002516664,0.10052218803723681,0.01567114353185921,0.02593625721753797,212,110,xes3g5m,dkt,full,42
0.6046511627906976,0.7916666666666666,0.5012554369217171,0.3928229835622437,0.12553425368645954,0.1543098964147428,0.03599836595444839,0.008073351839066635,288,111,xes3g5m,dkt,full,42
0.6943540528504217,0.7593203144813594,0.5065936717929023,0.4074272758442804,0.04795685260656547,0.16599698510189134,0.00656438109652456,0.015226075306245136,3943,112,xes3g5m,dkt,full,42
0.8489948848472868,0.8360291785601015,0.3728958785150224,0.3451634715217531,0.06371962866932801,0.11913782207294805,0.008521557319720315,0.06729131474416826,3153,114,xes3g5m,dkt,full,42
1.0,1.0,2.2786713353492793e-06,5.963228475893091e-05,2.276890978791754e-06,3.5560093855702236e-09,5.9285208536065074e-12,0.18040184798599396,1122,115,xes3g5m,dkt,full,42
0.7215453244115984,0.6748603351955307,0.5932081719033625,0.4510107618194775,0.0904026821838411,0.2034107072769855,0.01297473732623422,0.034828474058967385,895,116,xes3g5m,dkt,full,42
0.8513114621304173,0.8708560118753093,0.3477258545932564,0.3206924292050545,0.05904932908052045,0.10284363414943887,0.009378691445395725,0.056571684200274995,2021,117,xes3g5m,dkt,full,42
0.7101897107273452,0.7277676950998185,0.5781772476739573,0.4334646256643986,0.0783795715088258,0.1878915817023772,0.009905394182170353,0.023505179143287706,1653,118,xes3g5m,dkt,full,42
0.7810571561108458,0.8551853842020419,0.3682967655866555,0.33494542496428037,0.03784562925701038,0.11218843770450239,0.0028191067955578063,0.028780729989546165,3722,121,xes3g5m,dkt,full,42
0.8442767295597484,0.8640226628895185,0.335823655294858,0.3118569428041815,0.0661809653505121,0.09725475277517055,0.01574972825479379,0.04586498340615242,353,129,xes3g5m,dkt,full,42
0.7136739025469763,0.8405271828665568,0.40371394195211113,0.35015723223883854,0.041828298588364704,0.1226100872891639,0.004020557525169134,0.01066983050570766,3035,131,xes3g5m,dkt,full,42
0.6565506321521963,0.8726708074534162,0.3883657915514314,0.32526270093199466,0.07223988095188508,0.1057958246175762,0.012579800134298295,0.00737180863513076,644,137,xes3g5m,dkt,full,42
0.9222054109991705,0.9279148524431543,0.2116350959553527,0.246254008720362,0.02736388204128446,0.06064103681084812,0.005074518982036562,0.07305655166018406,6201,139,xes3g5m,dkt,full,42
0.9526925068752454,0.9311698508243915,0.17554016869956576,0.22566119046495445,0.024390525147054018,0.05092297288206045,0.0023848483756099994,0.06969247653411566,7642,14,xes3g5m,dkt,full,42
0.599098588355349,0.9717707442258341,0.16828472993372454,0.20217807142273117,0.050077279910152095,0.04087597256421499,0.015233667957797457,8.478260971942382e-05,1169,143,xes3g5m,dkt,full,42
0.853888799614334,0.9245960502692998,0.22528977338964823,0.24455234034809692,0.03772228757584968,0.05980584716973143,0.006548731013458382,0.026691196429670012,557,159,xes3g5m,dkt,full,42
0.4826713958504748,0.6317733990147784,1.0019831200020715,0.5311547828203572,0.24266735000393624,0.28212540331294084,0.07922203623141237,0.0025322771103539624,1624,0,xes3g5m,dkt,t500,42
0.613891357755971,0.7042168674698795,0.7218860730087817,0.4660016613199568,0.16988519349399148,0.21715754835295972,0.044008970653423365,0.00659265476593861,1660,1,xes3g5m,dkt,t500,42
0.5574104579466238,0.5879497074567409,0.9730368568147714,0.5493023821190792,0.27208282441020737,0.301733107001695,0.11173881295853695,0.0017914701408687068,8033,10,xes3g5m,dkt,t500,42
0.6215260468594217,0.7269736842105263,0.6619334994884797,0.4501632187038496,0.15749298166146647,0.20264692347380997,0.04025976835197391,0.011371932959275207,608,100,xes3g5m,dkt,t500,42
0.43809705631011475,0.536597428288823,1.013104834849824,0.5656791422460665,0.30467964250536345,0.31999289197224556,0.1229722884321098,0.005373052672922559,2022,101,xes3g5m,dkt,t500,42
0.5821443436229262,0.7810037934053108,0.5613581125220696,0.41450714698419455,0.13898073657064422,0.17181617490097667,0.030161889943056668,0.005285558267700661,6854,102,xes3g5m,dkt,t500,42
0.8956639566395663,0.8773006134969326,0.3381826487273395,0.30962070049630097,0.04542102529391163,0.09586497817582011,0.005783020687098462,0.0950803861329233,489,103,xes3g5m,dkt,t500,42
0.4886458754328161,0.7081588774470974,0.7959871246689663,0.470333235292636,0.21369914880211816,0.2212133522208381,0.07774589606775546,0.0003087837995259875,8837,104,xes3g5m,dkt,t500,42
0.7999453240146437,0.7518463810930576,0.5488959618245735,0.4137353751396198,0.12727082267395348,0.1711769606419219,0.03034116985573817,0.042911389652850344,677,105,xes3g5m,dkt,t500,42
0.6160519559915343,0.8907552721922511,0.44537270568950826,0.30985906926592327,0.08157864783316404,0.09601264280634425,0.01378130863743796,0.0011370535280619976,8156,106,xes3g5m,dkt,t500,42
0.5203806741649665,0.7195378151260504,0.9614139143705988,0.48758405628167256,0.19766719961042314,0.23773821194008923,0.04607214452190206,0.002816981996549194,952,107,xes3g5m,dkt,t500,42
0.4797885419227932,0.7851859357584355,0.7207894106258161,0.426737307128203,0.1597288754626268,0.18210472929503027,0.03705823809249792,0.0002639409467832961,9869,108,xes3g5m,dkt,t500,42
0.5708306410872996,0.7822162040171519,0.633524309551183,0.42222493983067877,0.12463326606213457,0.17827389981502031,0.02043469873418199,0.0016770345301869458,8862,109,xes3g5m,dkt,t500,42
