AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,n_pos,n_neg,kc_id,dataset,model,level,seed
0.6140641026485776,0.6507224713502741,0.6663454192258391,0.4797382707569518,0.1096685193534746,0.2301488084288704,0.014700443234395363,0.011202269549673825,2007,1314,693,1,assist2012,dkt,full,42
0.6737197392923648,0.6468401486988847,0.6437677833995081,0.4707733733935114,0.11581005802772747,0.2216275690963065,0.02183855155315474,0.02334909195618195,538,358,180,101,assist2012,dkt,full,42
0.6739246218897382,0.78687761749651,0.5235673296896989,0.4027958199463192,0.0890984707761152,0.1622444725662276,0.014825434831414165,0.01179233817212637,2149,1720,429,103,assist2012,dkt,full,42
0.7234474616292799,0.7156133828996283,0.7498186573167204,0.4679763504206159,0.15960070302884777,0.21900186455299908,0.034664564408270385,0.03498388287593918,538,363,175,105,assist2012,dkt,full,42
0.6161664213310355,0.736764705882353,0.58287909189311,0.4358548219239724,0.08894743460833147,0.1899694257943777,0.0158840538161236,0.007214546692760161,1360,1038,322,106,assist2012,dkt,full,42
0.6624571455970847,0.6696944673823286,0.6862802650988183,0.47724758053629696,0.11741195167211044,0.22776525312774923,0.02018661239264801,0.02008710617052425,1211,787,424,11,assist2012,dkt,full,42
0.5758736793219551,0.8310991957104558,0.5096088728896335,0.37279750903719494,0.10631031694824512,0.13897798274433745,0.020421319762940215,0.005468858362998644,373,319,54,110,assist2012,dkt,full,42
0.6409625819767635,0.6290046466128638,0.6719253156343565,0.48415431031643474,0.09862360457679507,0.2344053961979826,0.012070389229649543,0.014372931263389045,4089,2508,1581,12,assist2012,dkt,full,42
0.6378563881761345,0.6700052714812862,0.6376930106539435,0.46619050145961227,0.0856806995837105,0.21733358365116476,0.011044290289448653,0.01172974475149042,3794,2569,1225,13,assist2012,dkt,full,42
0.7267918414029737,0.8466898954703833,0.4378798335233437,0.3595515222523833,0.11352907402849777,0.12927729715400607,0.029782853565848696,0.027543053549002387,287,244,43,14,assist2012,dkt,full,42
0.6884683977742901,0.7726623840114204,0.5288635664076904,0.40962380461699277,0.0716959271715591,0.16779166130890028,0.0069912328336753544,0.01800557307614819,2802,2150,652,15,assist2012,dkt,full,42
0.6664400193162767,0.7095687331536388,0.6302449845455305,0.45271813355047336,0.11493865793226968,0.2049537084454242,0.0212927661954117,0.015698041132456503,1484,1076,408,16,assist2012,dkt,full,42
0.6670602526724976,0.6267496111975117,0.6929542500308611,0.4902820511426266,0.11940903499835456,0.24037648967262112,0.016340802282720262,0.025010312228921198,643,343,300,166,assist2012,dkt,full,42
0.6165619484281972,0.5786255096097845,0.711697279504266,0.5030313233207299,0.12142301487004689,0.2530405122418046,0.019787019586935697,0.013614694875803336,3434,1535,1899,17,assist2012,dkt,full,42
