dataset,model,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,n_events_std,auc_std,acc_std,nll_std,rmse_std,n_runs
assist2012,dkt,530029.8,0.6980288864441158,0.7182995513152187,0.5835877397876604,0.4399152275218082,9776.622714414227,0.0012668511489712707,0.0012530125963266863,0.004874506446444242,0.0010728916852754207,5
assist2012,irt_1pl,530029.8,0.5,0.6973878948759162,0.6130647956216851,0.45939032451422923,9776.622714414227,0.0,0.0003722468909293746,0.00030891583022140133,0.00015907897683797934,5
assist2012,simplekt,530029.8,0.6840146861598861,0.6998961879079524,0.7009918260975457,0.46004853759708214,9776.622714414227,0.0025174260136054424,0.003404129282420322,0.005333308181703802,0.002245326786166928,5
junyi,dkt,3233096.8,0.7316834792711158,0.7339850248762686,0.5445613291362037,0.4250631947670513,40325.92058713595,0.0012074164508437907,0.0014938909518561051,0.0025876686209687395,0.0009497876166430079,5
junyi,irt_1pl,3233096.8,0.5,0.7049874150770201,0.6065897789314818,0.4560528253784275,40325.92058713595,0.0,0.0016855092717380936,0.0014515885874719805,0.0007504294835646179,5
junyi,simplekt,3238002.4,0.7227548311966412,0.7271080563102393,0.6100240548559939,0.43445717525457683,43431.32151800123,0.0034621236170569785,0.0031742454027130084,0.021575220676809705,0.003674173688936999,5
xes3g5m,dkt,1283942.2,0.8169758527554215,0.8322601791166587,0.3939763054023553,0.3498130099987481,1517.8949897802443,0.002770514031596533,0.003008554530110608,0.008505759824157823,0.0030463154314459323,5
xes3g5m,irt_1pl,1284433.2,0.5,0.79570842539736,0.5626739581452757,0.4315893467375451,1281.937869009267,0.0,0.0027854962986840004,0.0014506268522993233,0.0008232193973729396,5
xes3g5m,simplekt,1283942.2,0.7558748684025787,0.8062973463110898,0.6214965489009644,0.3933737812446572,1517.8949897802443,0.0012762540700764432,0.0035606469212729444,0.014060160647553291,0.0035529202296940916,5
