dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_runs
assist2012,dkt,dense,146.2,523481.0,0.6968481674856849,0.7186927631660891,0.5804295143328323,0.43934420939996965,0.06019848293835637,0.19302409823724156,0.21023278813050822,0.005265410332695978,0.022266371701693884,1.303840481040526,9979.445425473308,0.0012149278660022616,0.0012545369886895789,0.0037530025140931214,0.000977179587652417,0.0020547091896222845,0.0008598134080749458,0.0002702115262593636,0.0004712020981018381,0.00033900825149176374,5
assist2012,dkt,medium,68.6,6117.2,0.7541059924723224,0.686639347875112,0.8107798458742339,0.48137925814578714,0.16439941850737488,0.23194307378809365,0.24870228940187267,0.030989552209595327,0.046790554412812504,1.3416407864998752,580.3909889031703,0.01504727066098918,0.015882512804656274,0.10231884836697544,0.016472841858089726,0.027268768900152073,0.015861558506840918,0.001285807430750999,0.009887394673749368,0.005746656732267194,5
assist2012,dkt,sparse,38.2,412.6,0.7317227873845857,0.7037301533009755,1.1596547997411242,0.49761776671682245,0.23117584178033215,0.2477183422700608,0.2320267024726868,0.061588151355611576,0.0452143779405237,1.303840481040529,28.49210416940104,0.011683273873177977,0.02372409713135701,0.13805223832158403,0.010891540170174246,0.010415056177174923,0.010809149035295566,0.011763323744283178,0.004340891290607619,0.0036519916540704907,5
assist2012,dkt,strict_cold_start,1.0,4.0,,0.5,0.7013106811193742,0.5016990752603808,0.5013766624033451,0.2540149807715272,0.0,0.2538825985160748,0.0,0.0,0.0,,0.7071067811865476,0.137114344793306,0.06801497856216492,0.06782264013510185,0.06824610369698556,0.0,0.06813777333269311,0.0,2
assist2012,dkt,very_sparse,6.6,17.4,0.9395454545454547,0.8213786213786214,0.5793158891013218,0.36729667119968906,0.17976569348162855,0.14535072636886143,0.2465839189115912,0.083276219480206,0.183364175691848,0.547722557505166,4.979959839195493,0.047226813367264614,0.061987097415483555,0.3719921138058642,0.1142578317583139,0.06162821258352717,0.07534317580055547,0.005570841175210478,0.039176591149716694,0.04436725450508332,5
assist2012,irt_1pl,dense,146.2,523481.0,0.5,0.6994162589313472,0.6113830114502354,0.458523290643216,0.003252303562250547,0.21024367553440942,0.21023278813050822,1.0887403901182762e-05,0.0,1.303840481040526,9979.445425473308,0.0,0.0006778120293169417,0.0005629661779071205,0.00029041377012621226,0.0006224201155119879,0.0002663451563173125,0.0002702115262593636,3.879685958033023e-06,0.0,5
assist2012,irt_1pl,medium,68.6,6117.2,0.5,0.5313058653264703,0.7507661395814538,0.5255045280627779,0.16485809004262647,0.27619947258740163,0.24870228940187267,0.02749718318552894,0.0,1.3416407864998752,580.3909889031703,0.0,0.019926533638851964,0.016558219262417392,0.007455163723774235,0.019968516877393636,0.007833460785978553,0.001285807430750999,0.006577697884466601,0.0,5
assist2012,irt_1pl,sparse,38.2,412.6,0.5,0.6260621598362871,0.6722040960375052,0.48856357071131945,0.07010179553280957,0.2390239836038536,0.2320267024726868,0.006997281131166768,0.0,1.303840481040529,28.49210416940104,0.0,0.05101016301585923,0.04229235759713518,0.020298429054335775,0.051027191210213194,0.020012704987847914,0.011763323744283178,0.008387142107711694,0.0,5
assist2012,irt_1pl,strict_cold_start,1.0,4.0,,0.0,1.1915236678432282,0.6962419151353444,0.6962419151353444,0.4847528043913321,0.0,0.4847528043913321,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
assist2012,irt_1pl,very_sparse,6.6,17.4,0.5,0.48211788211788215,0.7915472645847984,0.5432357710880434,0.21404607325121452,0.29549708686681486,0.2465839189115912,0.04891316795522358,0.0,0.547722557505166,4.979959839195493,0.0,0.06221244799534496,0.051595624661180756,0.022135488395157936,0.06222385476004439,0.024414224214272664,0.005570841175210478,0.029649396525695815,0.0,5
assist2012,simplekt,dense,146.2,523481.0,0.6825055578892131,0.7000540475685663,0.699373476411304,0.45978303316530045,0.11312657262212092,0.21140482698358368,0.21023278813050822,0.019955298397817643,0.01865414489057638,1.303840481040526,9979.445425473308,0.002530711738152402,0.0035556213257212353,0.0051903203122416405,0.002342380439822807,0.007655425279292904,0.002154154082599827,0.0002702115262593636,0.0017031036815844717,0.00042516067257989586,5
assist2012,simplekt,medium,68.6,6117.2,0.7507613640776707,0.6876141102857526,0.8079301244671233,0.47869942763308604,0.15525287398695162,0.22922096956065055,0.24870228940187267,0.027789239070867177,0.04659484381474731,1.3416407864998752,580.3909889031703,0.016077082006799342,0.01443729598385775,0.03238083212430863,0.009207846138369441,0.005129172215604504,0.008797497820386904,0.001285807430750999,0.0020969261551870262,0.005441809816410727,5
